Transaction ID,Date,Transaction Time,Stock Symbol,Price,Quantity,Open,High,Low,Close,Volume,Daily Range,Price Change,Gain,Transaction Value,Anomaly
NVDA_2023-05-25_2,2023-05-25,01:23:50,NVDA,382.77,913460,385.23,394.8,366.35,379.8,154391067,28.44999999999999,-5.430000000000007,0,346932108.0,-1
NVDA_2023-05-25_3,2023-05-25,04:17:34,NVDA,378.94,1308229,385.23,394.8,366.35,379.8,154391067,28.44999999999999,-5.430000000000007,0,496865374.2,-1
NVDA_2023-05-25_7,2023-05-25,03:09:25,NVDA,380.3,928323,385.23,394.8,366.35,379.8,154391067,28.44999999999999,-5.430000000000007,0,352577075.4,-1
NVDA_2023-05-25_9,2023-05-25,00:26:31,NVDA,377.19,996441,385.23,394.8,366.35,379.8,154391067,28.44999999999999,-5.430000000000007,0,378448291.8,-1
NVDA_2023-05-25_10,2023-05-25,01:15:43,NVDA,389.4,947539,385.23,394.8,366.35,379.8,154391067,28.44999999999999,-5.430000000000007,0,359875312.2,-1
NVDA_2023-05-25_15,2023-05-25,04:13:39,NVDA,388.22,1167776,385.23,394.8,366.35,379.8,154391067,28.44999999999999,-5.430000000000007,0,443521324.8,-1
NVDA_2023-05-25_18,2023-05-25,01:25:37,NVDA,382.45,1159791,385.23,394.8,366.35,379.8,154391067,28.44999999999999,-5.430000000000007,0,440488621.8,-1
NVDA_2023-05-25_23,2023-05-25,02:11:18,NVDA,387.47,1053865,385.23,394.8,366.35,379.8,154391067,28.44999999999999,-5.430000000000007,0,400257927.0,-1
NVDA_2023-05-25_26,2023-05-25,01:11:29,NVDA,375.15,1196199,385.23,394.8,366.35,379.8,154391067,28.44999999999999,-5.430000000000007,0,454316380.2,-1
NVDA_2023-05-25_30,2023-05-25,00:48:34,NVDA,366.4,1390244,385.23,394.8,366.35,379.8,154391067,28.44999999999999,-5.430000000000007,0,528014671.2,-1
NVDA_2023-05-25_32,2023-05-25,05:34:32,NVDA,389.17,961693,385.23,394.8,366.35,379.8,154391067,28.44999999999999,-5.430000000000007,0,365251001.4,-1
NVDA_2023-05-25_38,2023-05-25,02:41:02,NVDA,383.92,916678,385.23,394.8,366.35,379.8,154391067,28.44999999999999,-5.430000000000007,0,348154304.4,-1
NVDA_2023-05-25_43,2023-05-25,00:31:09,NVDA,381.67,1492646,385.23,394.8,366.35,379.8,154391067,28.44999999999999,-5.430000000000007,0,566906950.8,-1
NVDA_2023-05-25_49,2023-05-25,03:11:53,NVDA,370.63,1194485,385.23,394.8,366.35,379.8,154391067,28.44999999999999,-5.430000000000007,0,453665403.0,-1
NVDA_2023-05-25_51,2023-05-25,05:17:28,NVDA,379.73,1498139,385.23,394.8,366.35,379.8,154391067,28.44999999999999,-5.430000000000007,0,568993192.2,-1
NVDA_2023-05-25_53,2023-05-25,01:32:28,NVDA,367.74,1136741,385.23,394.8,366.35,379.8,154391067,28.44999999999999,-5.430000000000007,0,431734231.8,-1
NVDA_2023-05-25_55,2023-05-25,02:23:32,NVDA,387.53,1045265,385.23,394.8,366.35,379.8,154391067,28.44999999999999,-5.430000000000007,0,396991647.0,-1
NVDA_2023-05-25_62,2023-05-25,00:22:52,NVDA,391.28,1180482,385.23,394.8,366.35,379.8,154391067,28.44999999999999,-5.430000000000007,0,448347063.6,-1
