Transaction ID,Date,Transaction Time,Stock Symbol,Price,Quantity,Open,High,Low,Close,Volume,Daily Range,Price Change,Gain,Transaction Value,Anomaly
AAPL_2000-09-29_2,2000-09-29,01:45:24,AAPL,25.56,1279136,28.19,29.0,25.37,25.75,132529300,3.629999999999999,-2.4400000000000013,0,32937752.0,-1
AAPL_2000-09-29_6,2000-09-29,01:09:45,AAPL,27.95,1090530,28.19,29.0,25.37,25.75,132529300,3.629999999999999,-2.4400000000000013,0,28081147.5,-1
AAPL_2000-09-29_12,2000-09-29,03:16:32,AAPL,26.57,1230162,28.19,29.0,25.37,25.75,132529300,3.629999999999999,-2.4400000000000013,0,31676671.5,-1
AAPL_2000-09-29_16,2000-09-29,00:34:18,AAPL,25.81,1016051,28.19,29.0,25.37,25.75,132529300,3.629999999999999,-2.4400000000000013,0,26163313.25,-1
AAPL_2000-09-29_25,2000-09-29,04:16:52,AAPL,27.62,1303521,28.19,29.0,25.37,25.75,132529300,3.629999999999999,-2.4400000000000013,0,33565665.75,-1
AAPL_2000-09-29_30,2000-09-29,01:43:00,AAPL,28.25,1096802,28.19,29.0,25.37,25.75,132529300,3.629999999999999,-2.4400000000000013,0,28242651.5,-1
AAPL_2000-09-29_31,2000-09-29,00:54:34,AAPL,28.62,1315785,28.19,29.0,25.37,25.75,132529300,3.629999999999999,-2.4400000000000013,0,33881463.75,-1
AAPL_2000-09-29_38,2000-09-29,04:05:19,AAPL,27.4,1294916,28.19,29.0,25.37,25.75,132529300,3.629999999999999,-2.4400000000000013,0,33344087.0,-1
AAPL_2000-09-29_39,2000-09-29,03:08:20,AAPL,26.67,1203348,28.19,29.0,25.37,25.75,132529300,3.629999999999999,-2.4400000000000013,0,30986211.0,-1
AAPL_2000-09-29_45,2000-09-29,01:25:11,AAPL,28.39,971040,28.19,29.0,25.37,25.75,132529300,3.629999999999999,-2.4400000000000013,0,25004280.0,-1
AAPL_2000-09-29_46,2000-09-29,00:11:46,AAPL,26.88,985224,28.19,29.0,25.37,25.75,132529300,3.629999999999999,-2.4400000000000013,0,25369518.0,-1
AAPL_2000-09-29_47,2000-09-29,03:57:48,AAPL,26.05,1146007,28.19,29.0,25.37,25.75,132529300,3.629999999999999,-2.4400000000000013,0,29509680.25,-1
AAPL_2000-09-29_49,2000-09-29,03:28:09,AAPL,25.41,1312784,28.19,29.0,25.37,25.75,132529300,3.629999999999999,-2.4400000000000013,0,33804188.0,-1
AAPL_2000-09-29_52,2000-09-29,06:25:44,AAPL,28.04,999402,28.19,29.0,25.37,25.75,132529300,3.629999999999999,-2.4400000000000013,0,25734601.5,-1
AAPL_2000-09-29_53,2000-09-29,02:05:04,AAPL,28.44,1305056,28.19,29.0,25.37,25.75,132529300,3.629999999999999,-2.4400000000000013,0,33605192.0,-1
AAPL_2000-09-29_60,2000-09-29,05:51:13,AAPL,27.53,1250278,28.19,29.0,25.37,25.75,132529300,3.629999999999999,-2.4400000000000013,0,32194658.5,-1
AAPL_2000-09-29_65,2000-09-29,05:04:35,AAPL,28.43,988948,28.19,29.0,25.37,25.75,132529300,3.629999999999999,-2.4400000000000013,0,25465411.0,-1
